Plot,Date,Snow,Placed,Flags,Note
1,5/27/21,no,yes,,
2,5/27/21,no,yes,,
3,5/27/21,no,before,,
4,5/27/21,no,yes,,
5,5/27/21,no,yes,,
8,5/27/21,no,before,,was placed 5/22 FIX
9,5/27/21,yes,no,,
11,5/27/21,no,yes,,~40% snow
12,5/27/21,yes,no,,will go S of flag; stump is in
13,5/27/21,no,yes,,q
14,5/27/21,no,before,,q; 13 and 14 need swap?
15,5/27/21,yes,no,,moved; 1mE; now W of 16
16,5/27/21,no,yes,,
20,5/27/21,no,before,,
23,5/27/21,yes,no,,
25,5/27/21,yes,no,,
29,5/27/21,yes,no,,
30,5/27/21,yes,no,,
31,5/27/21,no,yes,,only placed two flags; half snow
32,5/27/21,yes,no,,
35,5/27/21,yes,no,,
36,5/27/21,no,yes,,
40,5/27/21,yes,no,,
42,5/27/21,no,yes,,by snow pole
47,5/27/21,yes,no,,
49,5/27/21,yes,no,,yfg72 + down
50,5/27/21,yes,no,,
51,5/27/21,yes,no,,
52,5/27/21,yes,no,,yfg72
54,5/27/21,yes,no,,
55,5/27/21,yes,no,,go W of flag
56,5/27/21,no,yes,,
60,5/27/21,no,yes,,
63,5/27/21,,,,flag not moved; (assume unplaced)
65,5/27/21,no,yes,,
67,5/27/21,no,yes,,
68,5/27/21,no,yes,,
69,5/27/21,no,yes,,
72,5/27/21,yes,no,,moved 1m W
75,5/27/21,no,yes,,
76,5/27/21,no,yes,,
77,5/27/21,yes,no,,
80,5/27/21,yes,no,,