Harvest_Date,Plot,Tag,Fruit_Pres,Fruit_Coll,Return,Page,Harvest_Note
7/15/21,6,1128,0,0,FALSE,H1,
7/15/21,6,1211,2,2,FALSE,H1,
7/15/21,6,1165,0,0,FALSE,H1,
7/15/21,6,1149,0,0,FALSE,H1,
7/15/21,7,1210,0,0,FALSE,H1,
7/15/21,8,1139,2,2,FALSE,H1,
7/15/21,8,1313,2,2,FALSE,H1,
7/15/21,8,1143,0,0,FALSE,H1,
7/15/21,8,1157,0,0,FALSE,H1,fruit aborted? Flower dud w/ 0 seeds
7/15/21,8,1307,,,FALSE,H1,[forgot to visit]
7/15/21,37,1148,0,0,FALSE,H1,
7/15/21,37,1140,2,2,FALSE,H1,
7/15/21,37,1185,0,0,FALSE,H1,
7/15/21,37,1137,11,5,TRUE,H1,counted 3 w/ petals present
7/15/21,59,1025,0,0,FALSE,H1,
7/15/21,59,1145,7,6,FALSE,H1,
7/15/21,59,1142,6,4,FALSE,H1,
7/15/21,62,1045,0,0,FALSE,H1,
7/15/21,62,1255,2,2,FALSE,H1,
7/15/21,62,1181,3,3,FALSE,H1,
7/15/21,73,1127,2,2,FALSE,H1,
7/15/21,73,1135,4,3,FALSE,H1,
7/15/21,73,1133,4,4,FALSE,H1,
7/15/21,73,1132,0,0,FALSE,H1,
7/15/21,73,1107,4,4,FALSE,H1,
7/15/21,73,1280,8,2,TRUE,H1,only 2 w/ brown calyx
7/15/21,74,1258,0,0,FALSE,H1,
7/15/21,74,1223,9,7,FALSE,H1,uncollected was puny