Date,Plot,Tag,Treatment,Flowers_treated,Color,Note
6/20/22,111,2016,Control,2,Rock,
6/20/22,118,2024,Addition,4,Orange,
6/20/22,118,2025,Addition,2,Orange,
6/20/22,127,2027,Control,5,Rock,
6/20/22,149,2073,Control,2,Rock,wrong plot no?
6/20/22,149,2093,Control,1,Rock,
6/20/22,152,2018,Addition,2,Orange,
6/20/22,152,2072,Addition,3,Orange,
6/20/22,154,2043,Control,3,Rock,
6/20/22,154,2090,Addition,1,Orange,some pollen already present
6/20/22,163,2035,Control,3,Rock,
6/20/22,163,2038,Control,3,Rock,
6/20/22,164,2003,Control,4,Rock,
6/20/22,164,2050,Control,4,Rock,two possibly done
6/20/22,164,2071,Addition,2,Orange,
6/20/22,169,2006,Control,2,Rock,
6/20/22,169,2023,Addition,2,Orange,
6/20/22,169,2034,Addition,3,Orange,
6/20/22,169,2080,Addition,3,Orange,saw bee poll right before treatment!
6/20/22,170,2008,Control,1,Rock,
6/20/22,170,2032,Addition,2,Orange,
6/20/22,170,2037,Addition,3,Orange,
6/20/22,170,2042,Control,4,Rock,
6/27/22,104,2091,Control,1,Yellow,
6/27/22,152,2018,Control,1,Yellow,
6/27/22,152,2033,Control,1,Yellow,
6/27/22,152,2063,Control,3,Yellow,
6/27/22,152,2070,Addition,5,Teal,
6/27/22,152,2073,Control,1,Yellow,
6/27/22,152,2119,Addition,3,Teal,
6/27/22,154,2047,Addition,5,Teal,
6/27/22,163,2038,Addition,1,Teal,
6/27/22,163,2076,Control,5,Yellow,
6/27/22,163,2082,Control,3,Yellow,
6/27/22,163,2084,Addition,3,Teal,
6/27/22,163,2103,Addition,1,Teal,
6/27/22,163,2106,Control,3,Yellow,
6/27/22,164,2003,Control,3,Yellow,
6/27/22,164,2054,Addition,7,Teal,
6/27/22,170,2011,Control,2,Yellow,
6/27/22,170,2085,Addition,2,Teal,
6/27/22,104,2089,Addition,2,Teal,
6/27/22,118,2041,Control,2,Yellow,
6/27/22,127,2001,Addition,8,Teal,
6/27/22,169,2086,Control,4,Yellow,
6/27/22,169,2034,Addition,2,Teal,
6/27/22,168,2088,Addition,2,Teal,
6/27/22,154,2074,Control,3,Yellow,
7/5/22,105,2101,Control,2,Pale blue,
7/5/22,105,2114,Addition,4,Red,
7/5/22,105,2142,Addition,3,Red,
7/5/22,123,2097,Control,1,Pale blue,
7/5/22,130,2140,Addition,2,Red,
7/7/22,138,2053,Addition,4,Red,
7/7/22,146,2145,Addition,4,Red,
7/7/22,146,2141,Control,5,Pale blue,
7/7/22,146,2148,Control,2,Pale blue,
7/7/22,147,2099,Addition,3,Red,
7/7/22,149,2111,Addition,4,Red,
7/7/22,150,2128,Control,3,Pale blue,
7/7/22,151,2110,Addition,4,Red,
7/7/22,151,2121,Control,1,Pale blue,
7/7/22,152,2127,Control,2,Pale blue,
7/7/22,153,2115,Addition,4,Red,
7/7/22,154,2130,Control,3,Pale blue,
7/7/22,154,2113,Control,1,Pale blue,
7/7/22,154,2134,Addition,1,Red,
7/12/22,105,2101,Control,1,Gray,
7/12/22,117,2131,Addition,2,Pacific blue,
7/12/22,130,2140,Addition,3,Pacific blue,
7/12/22,133,2165,Addition,1,Pacific blue,
7/12/22,133,2152,Control,4,Gray,
7/12/22,133,2151,Addition,3,Pacific blue,
7/12/22,146,2155,Addition,3,Pacific blue,
7/12/22,146,2148,Control,3,Gray,
7/12/22,150,2123,Control,2,Gray,
7/12/22,150,2136,Addition,2,Pacific blue,
7/12/22,150,2143,Control,2,Gray,
7/12/22,151,2139,Control,2,Gray,
7/12/22,151,2121,Addition,3,Pacific blue,
7/12/22,152,2132,Control,1,Gray,
7/12/22,153,2153,Addition,2,Pacific blue,
7/12/22,130,2164,Control,5,Gray,